date,close
1997-05-30,0.075
1997-06-30,0.077083
1997-07-31,0.119792
1997-08-29,0.116927
1997-09-30,0.216927
1997-10-31,0.254167
1997-11-28,0.20625
1997-12-31,0.251042
1998-01-30,0.245833
1998-02-27,0.320833
1998-03-31,0.35638
1998-04-30,0.382292
1998-05-29,0.367188
1998-06-30,0.83125
1998-07-31,0.923958
1998-08-31,0.697917
1998-09-30,0.930208
1998-10-30,1.053646
1998-11-30,1.6
1998-12-31,2.677083
1999-01-29,2.923438
1999-02-26,3.203125
1999-03-31,4.304688
1999-04-30,4.301563
1999-05-28,2.96875
1999-06-30,3.128125
1999-07-30,2.501563
1999-08-31,3.109375
1999-09-30,3.996875
1999-10-29,3.53125
1999-11-30,4.253125
1999-12-31,3.80625
2000-01-31,3.228125
2000-02-29,3.44375
2000-03-31,3.35
2000-04-28,2.759375
2000-05-31,2.415625
2000-06-30,1.815625
2000-07-31,1.50625
2000-08-31,2.075
2000-09-29,1.921875
2000-10-31,1.83125
2000-11-30,1.234375
2000-12-29,0.778125
2001-01-31,0.865625
2001-02-28,0.509375
2001-03-30,0.5115
2001-04-30,0.789
2001-05-31,0.8345
2001-06-29,0.7075
2001-07-31,0.6245
2001-08-31,0.447
2001-09-28,0.2985
2001-10-31,0.349
2001-11-30,0.566
2001-12-31,0.541
2002-01-31,0.7095
2002-02-28,0.705
2002-03-28,0.715
2002-04-30,0.8345
2002-05-31,0.9115
2002-06-28,0.8125
2002-07-31,0.7225
2002-08-30,0.747
2002-09-30,0.7965
2002-10-31,0.968
2002-11-29,1.1675
2002-12-31,0.9445
2003-01-31,1.0925
2003-02-28,1.1005
2003-03-31,1.3015
2003-04-30,1.4345
2003-05-30,1.7945
2003-06-30,1.816
2003-07-31,2.082
2003-08-29,2.316
2003-09-30,2.4215
2003-10-31,2.7215
2003-11-28,2.6985
2003-12-31,2.631
2004-01-30,2.52
2004-02-27,2.1505
2004-03-31,2.164
2004-04-30,2.18
2004-05-28,2.425
2004-06-30,2.72
2004-07-30,1.946
2004-08-31,1.907
2004-09-30,2.043
2004-10-29,1.7065
2004-11-30,1.984
2004-12-31,2.2145
2005-01-31,2.161
2005-02-28,1.759
2005-03-31,1.7135
2005-04-29,1.618
2005-05-31,1.7755
2005-06-30,1.6545
2005-07-29,2.2575
2005-08-31,2.135
2005-09-30,2.265
2005-10-31,1.993
2005-11-30,2.423
2005-12-30,2.3575
2006-01-31,2.241
2006-02-28,1.872
2006-03-31,1.8265
2006-04-28,1.7605
2006-05-31,1.7305
2006-06-30,1.934
2006-07-31,1.3445
2006-08-31,1.5415
2006-09-29,1.606
2006-10-31,1.9045
2006-11-30,2.017
2006-12-29,1.973
2007-01-31,1.8835
2007-02-28,1.957
2007-03-30,1.9895
2007-04-30,3.0665
2007-05-31,3.457
2007-06-29,3.4205
2007-07-31,3.927
2007-08-31,3.9955
2007-09-28,4.6575
2007-10-31,4.4575
2007-11-30,4.528
2007-12-31,4.632
2008-01-31,3.885
2008-02-29,3.2235
2008-03-31,3.565
2008-04-30,3.9315
2008-05-30,4.081
2008-06-30,3.6665
2008-07-31,3.817
2008-08-29,4.0405
2008-09-30,3.638
2008-10-31,2.862
2008-11-28,2.135
2008-12-31,2.564
2009-01-30,2.941
2009-02-27,3.2395
2009-03-31,3.672
2009-04-30,4.026
2009-05-29,3.8995
2009-06-30,4.183
2009-07-31,4.288
2009-08-31,4.0595
2009-09-30,4.668
2009-10-30,5.9405
2009-11-30,6.7955
2009-12-31,6.726
2010-01-29,6.2705
2010-02-26,5.92
2010-03-31,6.7885
2010-04-30,6.855
2010-05-28,6.273
2010-06-30,5.463
2010-07-30,5.8945
2010-08-31,6.2415
2010-09-30,7.853
2010-10-29,8.2615
2010-11-30,8.77
2010-12-31,9
2011-01-31,8.482
2011-02-28,8.6645
2011-03-31,9.0065
2011-04-29,9.7905
2011-05-31,9.8345
2011-06-30,10.2245
2011-07-29,11.126
2011-08-31,10.7615
2011-09-30,10.8115
2011-10-31,10.6755
2011-11-30,9.6145
2011-12-30,8.655
2012-01-31,9.722
2012-02-29,8.9845
2012-03-30,10.1255
2012-04-30,11.595
2012-05-31,10.6455
2012-06-29,11.4175
2012-07-31,11.665
2012-08-31,12.4135
2012-09-28,12.716
2012-10-31,11.6445
2012-11-30,12.6025
2012-12-31,12.5435
2013-01-31,13.275
2013-02-28,13.2135
2013-03-28,13.3245
2013-04-30,12.6905
2013-05-31,13.46
2013-06-28,13.8845
2013-07-31,15.061
2013-08-30,14.049
2013-09-30,15.632
2013-10-31,18.2015
2013-11-29,19.681
2013-12-31,19.939501
2014-01-31,17.9345
2014-02-28,18.105
2014-03-31,16.818501
2014-04-30,15.2065
2014-05-30,15.6275
2014-06-30,16.239
2014-07-31,15.6495
2014-08-29,16.952
2014-09-30,16.122
2014-10-31,15.273
2014-11-28,16.931999
2014-12-31,15.5175
2015-01-30,17.7265
2015-02-27,19.007999
2015-03-31,18.605
2015-04-30,21.089001
2015-05-29,21.4615
2015-06-30,21.7045
2015-07-31,26.807501
2015-08-31,25.644501
2015-09-30,25.5945
2015-10-30,31.295
2015-11-30,33.240002
2015-12-31,33.794498
2016-01-29,29.35
2016-02-29,27.625999
2016-03-31,29.681999
2016-04-29,32.9795
2016-05-31,36.1395
2016-06-30,35.780998
2016-07-29,37.940498
2016-08-31,38.458
2016-09-30,41.865501
2016-10-31,39.491001
2016-11-30,37.5285
2016-12-30,37.4935
2017-01-31,41.174
2017-02-28,42.251999
2017-03-31,44.327
2017-04-28,46.2495
2017-05-31,49.730999
2017-06-30,48.400002
2017-07-31,49.389
2017-08-31,49.029999
2017-09-29,48.067501
2017-10-31,55.264
2017-11-30,58.837502
2017-12-29,58.473499
2018-01-31,72.544502
2018-02-28,75.622498
2018-03-29,72.366997
2018-04-30,78.306503
2018-05-31,81.481003
2018-06-29,84.989998
2018-07-31,88.872002
2018-08-31,100.635498
2018-09-28,100.150002
2018-10-31,79.900497
2018-11-30,84.508499
2018-12-31,75.098503
2019-01-31,85.936501
2019-02-28,81.991501
2019-03-29,89.037498
2019-04-30,96.325996
2019-05-31,88.753502
2019-06-28,94.681503
2019-07-31,93.338997
2019-08-30,88.814499
2019-09-30,86.795502
2019-10-31,88.833
2019-11-29,90.040001
2019-12-31,92.391998
2020-01-31,100.435997
2020-02-28,94.1875
2020-03-31,97.486
2020-04-30,123.699997
2020-05-29,122.1185
2020-06-30,137.940994
2020-07-31,158.233994
2020-08-31,172.548004
2020-09-30,157.436493
2020-10-30,151.807495
2020-11-30,158.401993
2020-12-31,162.846497
2021-01-29,160.309998
2021-02-26,154.6465
2021-03-31,154.703995
2021-04-30,173.371002
2021-05-28,161.153503
2021-06-30,172.007996
2021-07-30,166.379501
2021-08-31,173.539505
2021-09-30,164.251999
2021-10-29,168.621506
2021-11-30,175.3535
2021-12-31,166.716995
2022-01-31,149.573502
2022-02-28,153.563004
2022-03-31,162.997498
2022-04-29,124.281502
2022-05-31,120.209503
2022-06-30,106.209999
2022-07-29,134.949997
2022-08-31,126.769997
2022-09-30,113
2022-10-31,102.440002
2022-11-30,96.540001
2022-12-30,84
2023-01-31,103.129997
2023-02-28,94.230003
2023-03-31,103.290001
2023-04-28,105.449997
2023-05-31,120.580002
2023-06-30,130.360001
2023-07-31,133.679993
2023-08-31,138.009995
2023-09-29,127.120003
2023-10-31,133.089996
2023-11-30,146.089996
2023-12-29,151.940002
2024-01-31,155.199997
2024-02-29,176.759995
