date,close
2008-01-31,1.881747
2008-02-29,1.909848
2008-03-31,1.89973
2008-04-30,2.002285
2008-05-30,2.046084
2008-06-30,1.889656
2008-07-31,1.845856
2008-08-29,1.745741
2008-09-30,1.501714
2008-10-31,1.151314
2008-11-28,1.113771
2008-12-31,1.138799
2009-01-30,1.113771
2009-02-27,1.0074
2009-03-31,1.076228
2009-04-30,1.207628
2009-05-29,1.482942
2009-06-30,1.482942
2009-07-31,1.670657
2009-08-31,1.664399
2009-09-30,1.701942
2009-10-30,1.701942
2009-11-30,1.758256
2009-12-30,1.845856
2010-01-29,1.751999
2010-02-26,1.745741
2010-03-31,1.8396
2010-04-30,1.877141
2010-05-31,1.789542
2010-06-30,1.808313
2010-07-30,1.895913
2010-08-31,1.864628
2010-09-30,1.964742
2010-10-29,2.008542
2010-11-30,2.014799
2010-12-31,2.052341
2011-01-31,2.021056
2011-02-28,1.914685
2011-03-31,1.964742
2011-04-29,2.021056
2011-05-31,2.014799
2011-06-30,1.996028
2011-07-29,2.014799
2011-08-31,1.833342
2011-09-30,1.701942
2011-10-31,1.820827
2011-11-30,1.72697
2011-12-30,1.714456
2012-01-31,1.864628
2012-02-29,1.883399
2012-03-30,1.895913
2012-04-30,1.883399
2012-05-31,1.770771
2012-06-29,1.845856
2012-07-31,1.914685
2012-08-31,1.914685
2012-09-28,1.94597
2012-10-31,1.927198
2012-11-30,1.958485
2012-12-31,2.014799
2013-01-31,2.083628
2013-02-28,2.083627
2013-03-28,2.108961
2013-04-30,2.146959
2013-05-31,2.121627
2013-06-28,2.032962
2013-07-31,2.077294
2013-08-30,1.964674
2013-09-30,2.073822
2013-10-31,2.086663
2013-11-29,2.067402
2013-12-31,2.073822
2014-01-30,1.983935
2014-02-28,2.025141
2014-03-31,2.077235
2014-04-30,2.13584
2014-05-30,2.174911
2014-06-30,2.142351
2014-07-31,2.220492
2014-08-29,2.217545
2014-09-30,2.177946
2014-10-31,2.184546
2014-11-28,2.237345
2014-12-31,2.243944
2015-01-30,2.282298
2015-02-27,2.275605
2015-03-31,2.295684
2015-04-30,2.35592
2015-05-29,2.295684
2015-06-30,2.24214
2015-07-31,2.200903
2015-08-31,2.017494
2015-09-30,1.93598
2015-10-30,2.065045
2015-11-30,1.983531
2015-12-31,2.003909
2016-01-29,1.821865
2016-02-29,1.863428
2016-03-31,1.981191
2016-04-29,1.988118
2016-05-31,1.967336
2016-06-30,1.995046
2016-07-29,2.023761
2016-08-31,2.009707
2016-09-30,2.044842
2016-10-31,2.009707
2016-11-30,2.07295
2016-12-30,2.065923
2017-01-31,2.18538
2017-02-28,2.215875
2017-03-31,2.280207
2017-04-28,2.287355
2017-05-31,2.330243
2017-06-30,2.337391
2017-07-31,2.407216
2017-08-31,2.407216
2017-09-29,2.356461
2017-10-31,2.479722
2017-11-30,2.523226
2017-12-29,2.501474
2018-01-31,2.595732
2018-02-28,2.590581
2018-03-29,2.524344
2018-04-30,2.676688
2018-05-31,2.575862
2018-06-29,2.444124
2018-07-31,2.493434
2018-08-31,2.435717
2018-09-28,2.47168
2018-10-31,2.293366
2018-11-30,2.364542
2018-12-31,2.335322
2019-01-31,2.43272
2019-02-28,2.453398
2019-03-29,2.451111
2019-04-30,2.60359
2019-05-31,2.419089
2019-06-28,2.578431
2019-07-31,2.573856
2019-08-30,2.443159
2019-09-30,2.454819
2019-10-31,2.547322
2019-11-29,2.517783
2019-12-31,2.546545
2020-01-31,2.491354
2020-02-28,2.388901
2020-03-31,1.965701
2020-04-30,2.084355
2020-05-29,2.019491
2020-06-30,2.092265
2020-07-30,2.048759
2020-08-31,2.066107
2020-09-30,2.019168
2020-10-30,1.987607
2020-11-30,2.297563
2020-12-31,2.355022
2021-01-29,2.379301
2021-02-26,2.420278
2021-03-31,2.608978
2021-04-30,2.654101
2021-05-31,2.628668
2021-06-30,2.604875
2021-07-30,2.644256
2021-08-31,2.583058
2021-09-30,2.598889
2021-10-29,2.698045
2021-11-30,2.598056
2021-12-31,2.649717
2022-01-31,2.74804
2022-02-28,2.750107
2022-03-31,2.892179
2022-04-29,2.866809
2022-05-31,2.800001
2022-06-30,2.684991
2022-07-29,2.763637
2022-08-31,2.800189
2022-09-30,2.733866
2022-10-31,2.707165
2022-11-30,2.868234
2022-12-30,2.851007
2023-01-31,2.934557
2023-02-28,2.863313
2023-03-31,2.858053
2023-04-28,2.897505
2023-05-31,2.835258
2023-06-30,2.879093
2023-07-31,3.021996
2023-08-31,2.94732
2023-09-29,2.93657
2023-10-31,2.803089
2023-11-30,2.818319
2023-12-29,2.965237
2024-01-31,2.88909
2024-02-29,2.888486
2024-03-28,2.960905
2024-04-30,3.049823
2024-05-31,3.107575
2024-06-28,3.122242
2024-07-31,3.240495
2024-08-30,3.284246
2024-09-30,3.426303
2024-10-30,3.399962
2024-11-29,3.59188
2024-12-31,3.621985
2025-01-31,3.692543
2025-02-28,3.743025
2025-03-28,3.836432
2025-04-30,3.726655
2025-05-30,3.837395
2025-06-30,3.890358
2025-07-31,4.10221
2025-08-29,4.252059
2025-09-30,4.284502
2025-10-31,4.414276
2025-11-28,4.542083
2025-12-31,4.64138
2026-01-30,4.911742
2026-02-27,4.997
2026-03-31,4.883
2026-04-30,4.979
2026-05-29,5.12
2026-06-30,5.277
2026-07-01,5.267
