date,close
1980-03-31,1.059507
1980-04-30,1.108874
1980-05-30,1.188622
1980-06-30,1.215205
1980-07-31,1.272167
1980-08-29,1.245585
1980-09-30,1.203812
1980-10-31,1.249383
1980-11-28,1.196217
1980-12-31,1.294952
1981-01-30,1.393687
1981-02-27,1.534196
1981-03-31,1.613944
1981-04-30,1.655717
1981-05-29,1.746856
1981-06-30,1.754452
1981-07-31,1.625336
1981-08-31,1.568373
1981-09-30,1.500018
1981-10-30,1.697489
1981-11-30,1.689894
1981-12-31,1.655717
1982-01-29,1.522803
1982-02-26,1.678501
1982-03-31,1.534196
1982-04-30,1.566475
1982-05-28,1.458246
1982-06-30,1.401283
1982-07-30,1.264573
1982-08-31,1.446854
1982-09-30,1.646223
1982-10-29,1.862681
1982-11-30,1.919644
1982-12-31,1.845593
1983-01-31,1.982303
1983-02-28,2.033569
1983-03-31,2.193065
1983-04-29,2.50636
1983-05-31,2.392434
1983-06-30,2.164584
1983-07-29,2.17028
1983-08-31,2.147495
1983-09-30,1.885465
1983-10-31,1.851288
1983-11-30,2.136103
1983-12-30,2.00509
1984-01-31,2.301295
1984-02-29,2.198761
1984-03-30,2.106794
1984-04-30,2.202559
1984-05-31,1.680212
1984-06-29,1.710317
1984-07-31,1.888475
1984-08-31,1.959739
1984-09-28,2.220528
1984-10-31,2.184125
1984-11-30,2.338835
1984-12-31,2.556775
1985-01-31,2.779103
1985-02-28,2.918058
1985-03-29,2.823997
1985-04-30,2.852238
1985-05-31,3.115811
1985-06-28,3.1538
1985-07-31,3.125129
1985-08-30,3.058231
1985-09-30,2.601849
1985-10-31,3.019311
1985-11-29,3.223187
1985-12-31,3.57481
1986-01-31,3.486175
1986-02-28,3.781618
1986-03-31,4.360819
1986-04-30,4.25105
1986-05-30,4.26103
1986-06-30,4.142678
1986-07-31,3.546536
1986-08-29,3.940596
1986-09-30,3.556097
1986-10-31,3.59709
1986-11-28,3.64833
1986-12-31,3.512972
1987-01-30,3.897525
1987-02-27,3.866346
1987-03-31,3.690667
1987-04-30,3.585219
1987-05-29,3.543037
1987-06-30,3.597398
1987-07-31,3.404682
1987-08-31,3.458215
1987-09-30,3.323256
1987-10-30,2.353518
1987-11-30,2.244561
1987-12-31,1.916956
1988-01-29,1.928165
1988-02-29,2.242054
1988-03-31,1.97001
1988-04-29,2.269544
1988-05-31,2.661242
1988-06-30,2.884804
1988-07-29,2.955453
1988-08-31,3.014327
1988-09-30,3.078744
1988-10-31,3.066718
1988-11-30,3.211034
1988-12-30,3.044801
1989-01-31,3.192131
1989-02-28,3.069358
1989-03-31,3.627103
1989-04-28,3.614552
1989-05-31,3.551798
1989-06-30,3.669672
1989-07-31,3.976543
1989-08-31,3.899827
1989-09-29,4.258082
1989-10-31,3.502826
1989-11-30,3.307499
1989-12-29,3.178685
1990-01-31,2.739787
1990-02-28,2.726487
1990-03-30,2.550146
1990-04-30,2.550146
1990-05-31,2.986535
1990-06-29,2.850285
1990-07-31,2.570844
1990-08-31,2.417153
1990-09-28,1.785607
1990-10-31,1.166404
1990-11-30,1.310404
1990-12-31,1.26222
1991-01-31,1.541082
1991-02-28,1.93736
1991-03-28,2.069242
1991-04-30,2.441409
1991-05-31,2.545615
1991-06-28,2.572132
1991-07-31,3.083551
1991-08-30,3.188843
1991-09-30,3.082549
1991-10-31,3.006624
1991-11-29,2.566259
1991-12-31,2.620255
1992-01-31,3.452573
1992-02-28,4.14617
1992-03-31,4.074905
1992-04-30,4.370412
1992-05-29,4.541495
1992-06-30,4.656894
1992-07-31,4.374656
1992-08-31,4.076743
1992-09-30,4.131
1992-10-30,4.352582
1992-11-30,4.748275
1992-12-31,4.928879
1993-01-29,5.184097
1993-02-26,5.168147
1993-03-31,5.194261
1993-04-30,4.920877
1993-05-28,4.936959
1993-06-30,5.300357
1993-07-30,5.348981
1993-08-31,5.267935
1993-09-30,5.878484
1993-10-29,5.241647
1993-11-30,5.029366
1993-12-31,5.291137
1994-01-31,5.208724
1994-02-28,4.912022
1994-03-31,4.846929
1994-04-29,4.6304
1994-05-31,5.113428
1994-06-30,5.180559
1994-07-29,5.163742
1994-08-31,5.214202
1994-09-30,4.768708
1994-10-31,5.177451
1994-11-30,4.956048
1994-12-30,4.947563
1995-01-31,5.37854
1995-02-28,5.53369
1995-03-31,5.266333
1995-04-28,5.824358
1995-05-31,6.434697
1995-06-30,6.591641
1995-07-31,7.279
1995-08-31,8.213113
1995-09-29,8.583234
1995-10-31,8.085376
1995-11-30,8.529628
1995-12-29,8.351927
1996-01-31,9.606508
1996-02-29,10.269645
1996-03-29,10.108344
1996-04-30,9.918679
1996-05-31,10.062428
1996-06-28,10.152273
1996-07-31,10.069559
1996-08-30,10.775875
1996-09-30,11.608972
1996-10-31,12.510312
1996-11-29,13.786874
1996-12-31,13.039171
1997-01-31,13.580176
1997-02-28,14.699621
1997-03-31,13.782043
1997-04-30,13.613384
1997-05-30,13.964341
1997-06-30,14.343007
1997-07-31,16.889105
1997-08-29,16.5359
1997-09-30,17.549046
1997-10-31,17.25745
1997-11-28,16.257694
1997-12-31,16.369806
1998-01-30,16.115353
1998-02-27,18.652462
1998-03-31,20.278086
1998-04-30,20.943382
1998-05-29,20.546612
1998-06-30,22.823261
1998-07-31,22.970589
1998-08-31,15.946527
1998-09-30,13.098926
1998-10-30,17.410345
1998-11-30,19.44059
1998-12-31,21.758141
1999-01-29,23.697868
1999-02-26,24.525646
1999-03-31,25.064671
1999-04-30,25.539873
1999-05-28,22.405436
1999-06-30,26.778162
1999-07-30,23.970184
1999-08-31,26.030878
1999-09-30,23.445292
1999-10-29,27.29006
1999-11-30,24.162268
1999-12-31,24.299093
2000-01-31,25.380238
2000-02-29,25.046024
2000-03-31,27.424805
2000-04-28,22.805244
2000-05-31,23.615484
2000-06-30,21.846792
2000-07-31,23.790627
2000-08-31,26.686096
2000-09-29,22.059317
2000-10-31,21.880743
2000-11-30,17.733019
2000-12-29,21.850693
2001-01-31,26.638178
2001-02-28,22.602961
2001-03-30,21.750387
2001-04-30,23.433924
2001-05-31,24.005354
2001-06-29,21.719616
2001-07-31,21.306339
2001-08-31,19.387285
2001-09-28,16.803961
2001-10-31,17.570087
2001-11-30,18.742746
2001-12-31,18.062008
2002-01-31,17.078909
2002-02-28,14.671301
2002-03-28,17.881433
2002-04-30,17.776735
2002-05-31,18.207235
2002-06-28,17.179115
2002-07-31,12.779787
2002-08-30,13.517093
2002-09-30,9.723087
2002-10-31,10.810419
2002-11-29,13.113165
2002-12-31,12.503622
2003-01-31,12.33451
2003-02-28,11.985723
2003-03-31,12.530046
2003-04-30,15.731362
2003-05-30,17.612694
2003-06-30,18.320213
2003-07-31,18.975279
2003-08-29,18.525938
2003-09-30,18.585485
2003-10-31,19.624033
2003-11-28,19.350721
2003-12-31,20.077738
2004-01-30,21.457077
2004-02-27,22.632282
2004-03-31,23.145397
2004-04-30,20.913601
2004-05-28,20.490866
2004-06-30,21.564365
2004-07-30,20.947119
2004-08-31,22.209665
2004-09-30,22.293825
2004-10-29,21.843866
2004-11-30,21.306261
2004-12-31,22.075884
2005-01-31,21.310232
2005-02-28,20.864973
2005-03-31,19.751795
2005-04-29,20.462996
2005-05-31,20.612909
2005-06-30,20.364969
2005-07-29,20.45812
2005-08-31,19.730387
2005-09-30,19.753672
2005-10-31,21.534351
2005-11-30,22.49287
2005-12-30,23.339655
2006-01-31,23.574368
2006-02-28,24.398737
2006-03-31,24.695267
2006-04-28,27.133348
2006-05-31,25.495066
2006-06-30,25.112402
2006-07-31,27.49947
2006-08-31,27.523579
2006-09-29,28.307199
2006-10-31,28.801651
2006-11-30,28.097374
2006-12-29,29.323759
2007-01-31,31.139677
2007-02-28,30.198095
2007-03-30,29.580557
2007-04-30,32.081165
2007-05-31,31.914881
2007-06-29,29.833622
2007-07-31,27.310791
2007-08-31,27.627279
2007-09-28,28.434
2007-10-31,29.403191
2007-11-30,28.53985
2007-12-31,27.307419
2008-01-31,29.913845
2008-02-29,25.653963
2008-03-31,27.105476
2008-04-30,30.316725
2008-05-30,27.358223
2008-06-30,21.829321
2008-07-31,26.139858
2008-08-29,24.76306
2008-09-30,30.045063
2008-10-31,26.743509
2008-11-28,20.526045
2008-12-31,20.441753
2009-01-30,16.740591
2009-02-27,14.995004
2009-03-31,17.44276
2009-04-30,21.694345
2009-05-29,24.25823
2009-06-30,22.424063
2009-07-31,25.44598
2009-08-31,28.612736
2009-09-30,28.849752
2009-10-30,27.533371
2009-11-30,28.007961
2009-12-31,27.467457
2010-01-29,25.698763
2010-02-26,27.698437
2010-03-31,29.533133
2010-04-30,28.132442
2010-05-28,26.150351
2010-06-30,24.188091
2010-07-30,26.649239
2010-08-31,24.055763
2010-09-30,25.18049
2010-10-29,24.928122
2010-11-30,24.775759
2010-12-31,28.101269
2011-01-31,29.804834
2011-02-28,30.96546
2011-03-31,30.574177
2011-04-29,30.426573
2011-05-31,28.832897
2011-06-30,27.299238
2011-07-29,27.138216
2011-08-31,25.199295
2011-09-30,20.207743
2011-10-31,23.526037
2011-11-30,20.960918
2011-12-30,22.504051
2012-01-31,25.426876
2012-02-29,26.749359
2012-03-30,31.34391
2012-04-30,29.490639
2012-05-31,22.745804
2012-06-29,24.51606
2012-07-31,24.907278
2012-08-31,25.696009
2012-09-28,28.006853
2012-10-31,29.050068
2012-11-30,28.631882
2012-12-31,30.646141
2013-01-31,33.018116
2013-02-28,34.330429
2013-03-28,33.305855
2013-04-30,34.608639
2013-05-31,38.548981
2013-06-28,37.277908
2013-07-31,39.640976
2013-08-30,35.942211
2013-09-30,36.767303
2013-10-31,36.930702
2013-11-29,41.000668
2013-12-31,41.903519
2014-01-31,39.927338
2014-02-28,40.980335
2014-03-31,43.785931
2014-04-30,40.628971
2014-05-30,40.331425
2014-06-30,41.819241
2014-07-31,42.14814
2014-08-29,43.449051
2014-09-30,44.026428
2014-10-31,44.499626
2014-11-28,44.264183
2014-12-31,46.044754
2015-01-30,40.268787
2015-02-27,45.378292
2015-03-31,44.859951
2015-04-30,47.155869
2015-05-29,49.034355
2015-06-30,50.510296
2015-07-31,51.418156
2015-08-31,48.094322
2015-09-30,45.745892
2015-10-30,48.55471
2015-11-30,50.391094
2015-12-31,49.899872
2016-01-29,45.266697
2016-02-29,42.832191
2016-03-31,45.053684
2016-04-29,48.437572
2016-05-31,50.024075
2016-06-30,47.625164
2016-07-29,49.409393
2016-08-31,52.135899
2016-09-30,51.433037
2016-10-31,53.884186
2016-11-30,62.372128
2016-12-30,67.133492
2017-01-31,66.206329
2017-02-28,70.892303
2017-03-31,68.717499
2017-04-28,68.451462
2017-05-31,64.635468
2017-06-30,71.913361
2017-07-31,72.625389
2017-08-31,71.905457
2017-09-29,75.56044
2017-10-31,80.060448
2017-11-30,83.171883
2017-12-29,85.097557
2018-01-31,92.523949
2018-02-28,92.38797
2018-03-29,87.964554
2018-04-30,87.453918
2018-05-31,86.03093
2018-06-29,83.771812
2018-07-31,92.916496
2018-08-31,92.617455
2018-09-28,91.210945
2018-10-31,88.74028
2018-11-30,90.506615
2018-12-31,79.460892
2019-01-31,84.93129
2019-02-28,85.636971
2019-03-29,83.06852
2019-04-30,95.958374
2019-05-31,87.615273
2019-06-28,92.444168
2019-07-31,96.5961
2019-08-30,91.483154
2019-09-30,98.003387
2019-10-31,104.8573
2019-11-29,110.598747
2019-12-31,117.011757
2020-01-31,111.815659
2020-02-28,98.087929
2020-03-31,76.055946
2020-04-30,81.737167
2020-05-29,83.060211
2020-06-30,80.286148
2020-07-31,83.292122
2020-08-31,86.351807
2020-09-30,82.973228
2020-10-30,85.282852
2020-11-30,102.541237
2020-12-31,110.535416
2021-01-29,112.733299
2021-02-26,128.94191
2021-03-31,133.375229
2021-04-30,135.553207
2021-05-28,144.745193
