date,close
2009-02-27,1.013792
2009-03-31,1.070113
2009-04-30,1.189014
2009-05-29,1.470624
2009-06-30,1.464366
2009-07-31,1.670879
2009-08-31,1.664621
2009-09-30,1.670879
2009-10-30,1.677137
2009-11-30,1.733459
2009-12-30,1.808554
2010-01-29,1.733459
2010-02-26,1.73302
2010-03-31,1.833586
2010-04-30,1.877392
2010-05-31,1.758491
2010-06-30,1.771007
2010-07-30,1.889908
2010-08-31,1.877392
2010-09-30,1.971262
2010-10-29,1.990036
2010-11-30,1.990036
2010-12-31,2.040099
2011-01-31,2.027583
2011-02-28,1.908682
2011-03-31,1.965004
2011-04-29,2.015067
2011-05-31,2.002551
2011-06-30,1.977519
2011-07-29,2.015067
2011-08-31,1.839844
2011-09-30,1.702169
2011-10-31,1.808554
2011-11-30,1.708427
2011-12-30,1.677137
2012-01-31,1.833586
2012-02-29,1.889908
2012-03-30,1.908682
2012-04-30,1.889908
2012-05-31,1.771007
2012-06-29,1.833586
2012-07-31,1.927456
2012-08-31,1.927456
2012-09-28,1.971262
2012-10-31,1.933714
2012-11-30,1.952488
2012-12-31,2.015067
2013-01-31,2.083905
2013-02-28,2.083905
2013-03-28,2.108936
2013-04-30,2.143454
2013-05-31,2.130807
2013-06-28,2.029642
2013-07-31,2.080225
2013-08-30,1.966413
2013-09-30,2.067578
2013-10-31,2.083966
2013-11-29,2.06473
2013-12-31,2.058318
2014-01-30,1.962135
2014-02-28,2.026257
2014-03-31,2.090379
2014-04-30,2.148088
2014-05-30,2.180149
2014-06-30,2.148088
2014-07-31,2.230345
2014-08-29,2.223843
2014-09-30,2.184828
2014-10-31,2.184828
2014-11-28,2.24335
2014-12-31,2.24335
2015-01-30,2.276005
2015-02-27,2.282603
2015-03-31,2.308991
2015-04-30,2.355171
2015-05-29,2.295797
2015-06-30,2.256214
2015-07-31,2.181404
2015-08-31,2.02081
2015-09-30,1.933821
2015-10-30,2.06765
2015-11-30,1.987352
2015-12-31,2.007427
2016-01-29,1.820734
2016-02-29,1.847909
2016-03-31,1.976991
2016-04-29,1.983785
2016-05-31,1.976991
2016-06-30,1.990578
2016-07-29,2.014226
2016-08-31,2.014226
2016-09-30,2.041724
2016-10-31,2.007352
2016-11-30,2.076097
2016-12-30,2.062348
2017-01-31,2.174881
2017-02-28,2.216975
2017-03-31,2.280117
2017-04-28,2.287133
2017-05-31,2.322211
2017-06-30,2.343258
2017-07-31,2.416094
2017-08-31,2.40903
2017-09-29,2.366643
2017-10-31,2.479676
2017-11-30,2.514999
2017-12-29,2.50087
2018-01-31,2.593995
2018-02-28,2.58681
2018-03-29,2.52214
2018-04-30,2.687408
2018-05-31,2.572438
2018-06-29,2.443098
2018-07-31,2.494297
2018-08-31,2.428657
2018-09-28,2.465124
2018-10-31,2.282792
2018-11-30,2.363018
2018-12-31,2.333845
2019-01-31,2.430237
2019-02-28,2.445101
2019-03-29,2.445101
2019-04-30,2.586307
2019-05-31,2.407941
2019-06-28,2.571444
2019-07-31,2.564031
2019-08-30,2.435451
2019-09-30,2.443015
2019-10-31,2.54134
2019-11-29,2.511086
2019-12-31,2.54134
2020-01-31,2.480183
2020-02-28,2.387754
2020-03-31,1.956417
2020-04-30,2.079656
2020-05-29,2.018037
2020-06-30,2.079656
2020-07-30,2.037176
2020-08-31,2.052968
2020-09-30,2.013488
2020-10-30,1.974007
2020-11-30,2.281953
2020-12-31,2.345121
2021-01-29,2.365315
2021-02-26,2.397496
2021-03-31,2.590583
2021-04-30,2.630809
2021-05-31,2.614718
2021-06-30,2.590583
2021-07-30,2.623768
2021-08-31,2.558378
2021-09-30,2.574726
2021-10-29,2.672811
2021-11-30,2.558378
2021-12-31,2.631942
2022-01-31,2.739531
2022-02-28,2.722927
2022-03-31,2.872357
2022-04-29,2.855753
2022-05-31,2.781039
2022-06-30,2.664816
2022-07-29,2.73661
2022-08-31,2.778842
2022-09-30,2.711271
2022-10-31,2.669039
2022-11-30,2.846412
2022-12-30,2.82952
2023-01-31,2.918717
2023-02-28,2.841229
2023-03-31,2.832619
2023-04-28,2.867059
2023-05-31,2.811095
2023-06-30,2.853283
2023-07-31,2.996334
2023-08-31,2.930432
2023-09-29,2.917252
2023-10-31,2.780176
2023-11-30,2.798628
2023-12-29,2.952399
2024-01-31,2.864093
2024-02-29,2.86859
2024-03-28,2.956716
2024-04-30,3.029554
2024-05-31,3.093401
2024-06-28,3.109587
2024-07-31,3.216941
2024-08-30,3.268501
2024-09-30,3.410289
2024-10-30,3.38543
2024-11-29,3.572333
2024-12-31,3.631258
2025-01-31,3.682862
2025-02-28,3.734653
2025-03-28,3.820345
2025-04-30,3.71017
2025-05-30,3.818461
2025-06-30,3.887203
2025-07-31,4.10264
2025-08-29,4.247099
2025-09-30,4.26636
2025-10-31,4.406004
2025-11-28,4.532165
2025-12-31,4.647733
2026-01-30,4.916022
2026-02-27,5.008333
2026-03-31,4.91995
2026-04-30,4.966106
2026-05-29,5.146799
2026-06-30,5.2833
2026-07-02,5.302
